Date,Open,High,Low,Close,Adj Close,Volume
5/25/2012,50.279999,51.215,50.279999,50.875,44.102737,3559600
5/29/2012,52.224998,52.66,51.580002,52.43,45.450752,4652600
5/30/2012,51.669998,51.669998,49.950001,50.494999,43.773335,5560600
5/31/2012,50.375,50.424999,48.200001,49.650002,43.040829,7350600
6/1/2012,47.939999,48.07,45.669998,45.834999,39.733658,13415000
6/4/2012,45.98,46.084999,44.424999,45.200001,39.183174,10072600
6/5/2012,44.805,46.115002,44.785,45.935001,39.820332,6586000
6/6/2012,46.52,47.48,46.415001,47.459999,41.142338,5499000
6/7/2012,48.290001,48.700001,47.205002,47.724998,41.372063,6559000
6/8/2012,46.91,47.064999,45.880001,46.939999,40.691563,4717600
6/11/2012,47.674999,48.049999,45.900002,45.965,39.846352,4168200
6/12/2012,46.305,47.185001,46.115002,47.084999,40.817261,3856800
6/13/2012,46.895,47.615002,46.009998,46.349998,40.180092,4524600
6/14/2012,46.450001,47.474998,46.110001,47.23,40.942955,5099200
6/15/2012,47.445,48.389999,46.955002,48.32,41.887859,5798600
6/18/2012,48.014999,48.084999,47.18,47.365002,41.059978,4492600
6/19/2012,47.845001,48.16,47.290001,47.974998,41.588779,4502200
6/20/2012,48.07,48.384998,46.07,46.470001,40.284126,6199000
6/21/2012,46.424999,46.634998,43.169998,43.240002,37.484077,11919000
6/22/2012,43.845001,43.985001,42.935001,43.810001,37.978222,6630400
6/25/2012,42.845001,42.939999,41.830002,42.450001,36.799244,6179200
6/26/2012,42.459999,42.779999,41.240002,41.98,36.391815,7419800
6/27/2012,42.125,43.084999,42.040001,42.865002,37.159016,10073800
6/28/2012,42.599998,42.919998,41.945,42.580002,36.911949,8044200
6/29/2012,43.974998,45.130001,43.785,45.055,39.057476,9941400
7/2/2012,44.77,44.970001,43.77,44.470001,38.550358,3431400
7/3/2012,45,47.5,45,47.445,41.129333,5677200
7/5/2012,47.040001,47.25,45.880001,46,39.87669,4101600
7/6/2012,44.884998,45.674999,44.535,45.32,39.287205,3424200
7/9/2012,45.205002,46.435001,45.095001,45.744999,39.65564,4715000
7/10/2012,45.735001,45.98,44.375,44.674999,38.728069,4704200
7/11/2012,44.855,46.310001,44.855,45.939999,39.824669,5386200
7/12/2012,45.080002,45.919998,44.544998,45.525002,39.46492,5869600
